medcode,readcode,readterm
99096,Byu2300,[X]Malignant neopl/overlapping les/resp+intrathoracic organs
99155,B801000,Carcinoma in situ of upper 1/3 oesophagus
99185,B062100,Malignant neoplasm of glossopalatine fold
99240,B600z00,Reticulosarcoma NOS
99257,B324z00,Malignant melanoma of scalp and neck NOS
99386,B073200,Malignant neoplasm posterior margin nasal septum and choanae
99413,B67yz00,Other and unspecified leukaemia NOS
99493,B002.00,"Malignant neoplasm of upper lip, inner aspect"
99511,B574200,Secondary malignant neoplasm of ileum
99572,B312500,Malignant neoplasm of connective and soft tissue of toe
99580,B808100,Carcinoma in situ of intrahepatic bile ducts
99621,B520.00,Malignant neoplasm of cranial nerves
99702,BBn3.00,"[M]Plasma cell tumour, malignant"
99797,BBX3.00,[M]Malignant giant cell tumour of soft parts
99887,B60y.00,Other specified reticulosarcoma or lymphosarcoma
99896,B12y.00,Malignant neoplasm of other specified site small intestine
99913,B510300,Malignant neoplasm of globus pallidus
99951,B60z.00,Reticulosarcoma or lymphosarcoma NOS
100002,B062z00,Malignant neoplasm of tonsillar fossa NOS
100006,B602200,Burkitt's lymphoma of intrathoracic lymph nodes
100083,B546.00,neuroblastoma
100111,BB46.00,[M]Schneiderian carcinoma
100144,B004300,"Malignant neoplasm of lip, oral aspect"
100183,B807300,Carcinoma in situ of Meckel's diverticulum
100232,B24y.00,"Malig neop of other site of heart, thymus and mediastinum"
100267,BBZG.11,"[M]Adamantinoma, malignant"
100352,B601500,Lymphosarcoma of lymph nodes of inguinal region and leg
100423,B610100,"Hodgkin's paragranuloma of lymph nodes of head, face, neck"
100532,B622z00,Sezary's disease NOS
100584,B110000,Malignant neoplasm of cardiac orifice of stomach
100615,B626500,Mast cell malignancy of lymph nodes inguinal region and leg
100625,BB5R500,"[M]Carcinoid tumour, nonargentaffin, malignant"
100721,B002z00,"Malignant neoplasm of upper lip, inner aspect NOS"
100733,B51yz00,Malignant neoplasm of other part of brain NOS
100781,ByuF300,[X]Carcinoma in situ of other parts of respiratory system
100786,B651000,Chronic eosinophilic leukaemia
100918,B073z00,Malignant neoplasm of anterior wall of nasopharynx NOS
101086,B520z00,Malignant neoplasm of cranial nerves NOS
101114,B627A00,Diffuse non-Hodgkin's large cell lymphoma
101429,BBj0.11,"[M]Lymphogranuloma, malignant"
101465,B62z800,Unspec malig neop lymphoid/histiocytic of multiple sites
101530,B616z00,"Hodgkin's disease, lymphocytic depletion NOS"
101606,B662.00,Subacute monocytic leukaemia
101608,B4A1100,Malignant neoplasm of ureteropelvic junction
101662,B565200,Secondary and unspec malig neop circumflex iliac LN
101668,Byu5400,"[X]Malignant neoplasm/peripheral nerves of trunk,unspecified"
101700,B139.00,Hereditary nonpolyposis colon cancer
101715,B616700,"Hodgkin's disease, lymphocytic depletion of spleen"
101753,B03y.00,Malignant neoplasm of other sites of gum
101778,B442.00,Malignant neoplasm of broad ligament
101805,B507000,Malignant neoplasm of lacrimal sac
101836,A788600,Human immunodeficiency virus with secondary cancers
101885,B241400,Mesothelioma of pericardium
101907,B182.00,Overlapping malign lesion of retroperitoneum and peritoneum
101988,B060100,Malignant neoplasm of palatine tonsil
102142,B013000,Malignant neoplasm of anterior 2/3 of tongue ventral surface
102145,B322100,Malignant melanoma of external auditory meatus
102151,B060200,Malignant neoplasm of overlapping lesion of tonsil
102158,B625200,Letterer-Siwe disease of intrathoracic lymph nodes
102205,B072z00,Malignant neoplasm of lateral wall of nasopharynx NOS
102593,BB96.00,[M]Noninfiltrating intraductal papillary adenocarcinoma
102594,B627E00,Diffuse large B-cell lymphoma
102688,ByuD400,[X]Other malignant immunoproliferative diseases
102708,ByuF100,[X]Carcinoma in situ of other specified digestive organs
102715,B625000,Letterer-Siwe disease of unspecified sites
102783,B651200,Chronic neutrophilic leukaemia
102949,B312000,Malignant neoplasm of connective and soft tissue of hip
103034,BB5j500,"[M]Endometrioid adenofibroma, malignant"
103245,B601700,Lymphosarcoma of spleen
103353,B62z300,Unspec malig neop lymphoid/histiocytic intra-abdominal nodes
103354,B308z00,Malignant neoplasm of short bones of leg NOS
103645,B66yz00,Other monocytic leukaemia NOS
103796,B051.00,Malignant neoplasm of vestibule of mouth
103900,B626000,Mast cell malignancy of unspecified site
103946,B220100,Malignant neoplasm of mucosa of trachea
103995,B545z00,malignant neoplasm of aortic body or paraganglia nos
104128,B31z000,kaposi's sarcoma of soft tissue
104139,B313300,malig neoplasm of connective and soft tissues of thor spine
104152,B628.00,follicular lymphoma
104291,B61..11,hodgkin lymphoma
104324,B595.00,malignant tumour of unknown origin
104325,B640000,b-cell acute lymphoblastic leukaemia
104328,B641000,b-cell chronic lymphocytic leukaemia
104386,B62F000,small cell b-cell lymphoma
104391,B627.11,non-hodgkin lymphoma
104412,B62F200,lymphoblastic (diffuse) lymphoma
104418,B630400,solitary plasmacytoma
104475,B692.00,subacute myelomonocytic leukaemia
104480,B58y800,secondary malignant neoplasm of epididymis and vas deferens
104484,B61C.00,other classical hodgkin lymphoma
104620,B62F100,mantle cell lymphoma
104743,B613800,"hodgkin's, lymphocytic-histiocytic pred of multiple sites"
104788,B654.00,acute myeloblastic leukaemia
104790,B601800,lymphosarcoma of lymph nodes of multiple sites
104862,B62E300,cutaneous t-cell lymphoma
104895,B617.00,nodular lymphocyte predominant hodgkin lymphoma
104913,B311z00,malig neop connective soft tissue upper limb/shoulder nos
104934,B62Ew00,other mature t/nk-cell lymphoma
104939,B64y500,adult t-cell lymphoma/leukaemia (htlv-1-associated)
105020,B628300,follicular lymphoma grade 3a
105025,ByuDA00,"[x]oth spcf mal neoplsm/lymphoid,haematopoietic+rltd tissue"
105038,B627G00,mediastinal (thymic) large b-cell lymphoma
105069,B693.00,juvenile myelomonocytic leukaemia
105072,Byu5500,[x]mal neoplasm/overlap les/periph nerv+autonomic nerv systm
105083,B62D.00,histiocytic sarcoma
105085,B62E.00,t/nk-cell lymphoma
105095,B628100,follicular lymphoma grade 2
105203,B620200,nodular lymphoma of intrathoracic lymph nodes
105286,B62EA00,primary cutaneous cd30-positive t-cell proliferations
105296,BBTD200,"[M]Haemangiopericytoma, malignant"
105324,A789800,HIV disease resulting in multiple malignant neoplasms
105335,B62A.00,sarcoma of dendritic cells
105375,B62E800,blastic nk-cell lymphoma
105388,B498.00,local recurrence of malignant tumour of urinary bladder
105472,B614700,"hodgkin's disease, nodular sclerosis of spleen"
105475,B308.00,malignant neoplasm of short bones of leg
105488,B36..00,local recurrence of malignant tumour of breast
105559,B62E100,"anaplastic large cell lymphoma, alk-positive"
105613,B161300,malignant neoplasm of sphincter of oddi
105636,B62E900,angioimmunoblastic t-cell lymphoma
105709,B62E600,enteropathy-associated t-cell lymphoma
105762,B62C.00,unifocal langerhans-cell histiocytosis
105792,B629.00,multifocal multisystemic dissem langerhans-cell histiocytosi
105797,B304100,malignant neoplasm of acromion
105841,B618.00,nodular sclerosis classical hodgkin lymphoma
105889,B628000,follicular lymphoma grade 1
105925,B62E700,subcutaneous panniculitic t-cell lymphoma
105953,B561100,secondary and unspec malig neop intercostal lymph nodes
105955,B62E200,"anaplastic large cell lymphoma, alk-negative"
105957,B651100,"chronic myeloid leukaemia, bcr/abl positive"
105966,B627F00,extranod marg zone b-cell lymphom mucosa-assoc lymphoid tiss
106003,ByuFC00,[X]Carcinoma in situ of oth+unspecified male genital organs
106063,B628700,other types of follicular lymphoma
106069,B305.11,malignant neoplasm of carpal bones
106194,B231.00,malignant neoplasm of visceral pleura
106349,B61z.11,hodgkin lymphoma nos
106519,BB1P.00,[M]Non-small cell carcinoma
106569,B500200,malignant neoplasm of crystalline lens
106597,B61B.00,lymphocyte-rich classical hodgkin lymphoma
106654,B524W00,"mal neoplasm/periph nerves+autonomic nervous system,unspc"
106867,B62F.11,non-follicular lymphoma
106884,B62F.00,nonfollicular lymphoma
106911,B613700,"hodgkin's, lymphocytic-histiocytic predominance of spleen"
106915,B073100,malignant neoplasm of nasopharyngeal soft palate surface
106924,B641200,Clinical stage B chronic lymphocytic leukaemia
106969,B628500,diffuse follicle centre lymphoma
107017,B641011,chronic lymphocytic leukaemia of b-cell type
107032,B616800,hodgkin's lymphocytic depletion lymph nodes multiple sites
107052,B641100,Clinical stage A chronic lymphocytic leukaemia
107126,B553200,malignant neoplasm of sacrococcygeal region
107163,B641300,Clinical stage C chronic lymphocytic leukaemia
107166,B628200,follicular lymphoma grade 3
107236,B651300,"atypical chronic myeloid leukaemia, bcr/abl negative"
107258,B011100,malignant neoplasm of midline of tongue
107299,BB5D700,[M]Combined hepatocellular carcinoma and cholangiocarcinoma
107456,4K2M.00,Crv smr - hi grade dyskaryosis? invasive squamous carcinoma
107638,B62z400,unspec malig neop lymphoid/histiocytic lymph node axilla/arm
107643,B64y400,t-cell prolymphocytic leukaemia
107878,B213200,Malignant neoplasm of cuneiform cartilage
107916,B201000,Malignant neoplasm of auditory (Eustachian) tube
107958,B836.00,Carcinoma in situ other and unspecified male genital organs
108389,B310500,Malignant neoplasm soft tissues of cervical spine
108638,B305A00,Malignant neoplasm of third metacarpal bone
108905,68W2400,Bowel scope (flexible sigmoidoscopy) screen: cancer detected
,,
,,
,,
,,
,,
,,
17151,BB81.11,[M]Ovarian cystadenoma or carcinoma
19731,BB5N.11,[M]Adenoma or or adenocarcinoma in polyposis coli
21659,BB5Bz00,[M]Pancreatic adenoma or carcinoma NOS
28388,BB5jz00,[M]Endometrioid adenoma or carcinoma NOS
35467,BB5az00,[M]Renal adenoma or carcinoma NOS
35975,BB5z.00,[M]Adenoma or adenocarcinoma NOS
36221,BB5Sz00,[M]Respiratory tract adenoma or adenocarcinoma NOS
36286,BB5Lz00,[M]Adenomatous or adenocarcinomatous polyp NOS
38685,BB5fz00,[M]Thyroid adenoma or adenocarcinoma NOS
39148,BB5Mz00,[M]Tubular adenoma or adenocarcinoma NOS
39875,BB5Nz00,[M]Adenomatous or adenocarcinomatous polyps of the colon NOS
42169,BB5cz00,[M]Parathyroid adenoma or adenocarcinoma NOS
50108,BB5Uz00,[M]Villous adenoma or adenocarcinoma NOS
53987,BB5Dz00,[M]Hepatobiliary adenoma or carcinoma NOS
57422,BB5Vz00,[M]Pituitary adenoma or carcinoma NOS
64796,BB82z00,[M]Mucinous adenoma or adenocarcinoma NOS
65207,BB80z00,[M]Cystadenoma or carcinoma NOS
70516,BB5D.11,[M]Biliary tract adenomas and adenocarcinomas
72192,BB5Xz00,[M]Clear cell adenoma or adenocarcinoma NOS
73662,BB5Wz00,[M]Oxyphilic adenoma or adenocarcinoma NOS
91842,BB69z00,[M]Sebaceous adenoma or adenocarcinoma NOS
96494,BB5Tz00,[M]Papillary adenoma or adenocarcinoma NOS
104973,BB62z00,[M]Apocrine adenoma or adenocarcinoma NOS
